projeto_atividade_codigo;projeto_atividade_descricao;data;numero;empenho;tipo;conta;fonte;fornecedor_codigo;fornecedor_nome;liquidado;saldo_a_pagar;em_previsao;saldo_a_provisionar
04.122.0002-2001;MANUTENÇÃO DO GABINETE DO PREFEITO;29/05/2023;3340/2023;3376/2023;Ordinário;00070;00000;22687-4;PROBO CENTRO AUTOMOTIVO LTDA;700.00;700.00;0.00;700.00
04.122.0002-2001;MANUTENÇÃO DO GABINETE DO PREFEITO;29/05/2023;3339/2023;3375/2023;Ordinário;00050;00000;22687-4;PROBO CENTRO AUTOMOTIVO LTDA;460.00;460.00;0.00;460.00
04.122.0002-2001;MANUTENÇÃO DO GABINETE DO PREFEITO;15/09/2023;6554/2023;6014/2023;Ordinário;00070;00000;21092-7;MUNICÍPIO DE CURITIBA;293.46;293.46;0.00;293.46
04.122.0002-2001;MANUTENÇÃO DO GABINETE DO PREFEITO;04/10/2023;7144/2023;4259/2023;Ordinário;00050;00000;21951-7;PR COMERCIO ELETRONICO LTDA - EPP;60.00;60.00;0.00;60.00
04.122.0002-2001;MANUTENÇÃO DO GABINETE DO PREFEITO;18/10/2023;7462/2023;4260/2023;Ordinário;00050;00000;23808-2;HMA COMERCIO E ATACADISTA DE PRODUTOS DE INFORMATICA E;16.80;16.80;0.00;16.80
04.122.0002-2001;MANUTENÇÃO DO GABINETE DO PREFEITO;28/05/2025;3353/2025;3356/2025;Ordinário;00050;00000;20487-1;NÃO UTILIZAR CADASTRO INDEVIDO;30.00;30.00;0.00;30.00
04.124.0003-2003;MANUTENÇÃO DO SETOR DE CONTROLE INTERNO;16/09/2025;5646/2025;5577/2025;Ordinário;00200;00000;297-6;TABELIONATO DE NOTAS ANEXOS;8891.53;2195.06;0.00;2195.06
04.124.0003-2003;MANUTENÇÃO DO SETOR DE CONTROLE INTERNO;09/10/2025;6114/2025;6015/2025;Ordinário;00180;00000;20220-7;LUAN VICENTE DOS SANTOS;500.00;500.00;0.00;500.00
04.122.0005-1004;ESTRUTURAR SECRETARIA DE ADMINISTRAÇÃO;16/05/2023;3123/2023;2716/2023;Ordinário;00180;00000;23751-5;MARCOS FERARI LTDA;1055.54;1055.54;0.00;1055.54
04.122.0005-1004;ESTRUTURAR SECRETARIA DE ADMINISTRAÇÃO;23/06/2023;4150/2023;2717/2023;Ordinário;00180;00000;23869-4;TODON COMERCIAL LTDA;2080.00;2080.00;0.00;2080.00
04.122.0005-1004;ESTRUTURAR SECRETARIA DE ADMINISTRAÇÃO;30/06/2023;4461/2023;2715/2023;Ordinário;00180;00000;22331-0;I.L.MENDES JUNIOR EIRELI ME;7230.00;7230.00;0.00;7230.00
04.122.0005-1004;ESTRUTURAR SECRETARIA DE ADMINISTRAÇÃO;24/07/2023;4919/2023;4833/2023;Ordinário;00180;00000;24244-6;WYUT DO BRASIL DISTRIBUIDORA DE EQUIPAMENTOS - EIRELI;3200.00;3200.00;0.00;3200.00
04.122.0005-1004;ESTRUTURAR SECRETARIA DE ADMINISTRAÇÃO;05/09/2023;6303/2023;5509/2023;Ordinário;00180;00000;24331-1;BELLINEA IND E COM DE MOVEIS LTDA;399.00;399.00;0.00;399.00
04.122.0005-1004;ESTRUTURAR SECRETARIA DE ADMINISTRAÇÃO;06/10/2023;7277/2023;6628/2023;Ordinário;00195;11045;22322-1;REPREMIG REPRESENTAÇÃO E COMERCIO DE MINAS GERAIS LTDA;9920.00;9920.00;0.00;9920.00
04.122.0005-1004;ESTRUTURAR SECRETARIA DE ADMINISTRAÇÃO;28/12/2023;9720/2023;7515/2023;Ordinário;00180;00000;24331-1;BELLINEA IND E COM DE MOVEIS LTDA;401.00;401.00;0.00;401.00
04.122.0005-1004;ESTRUTURAR SECRETARIA DE ADMINISTRAÇÃO;11/03/2024;1703/2024;7476/2023;Ordinário;00180;00000;24338-8;DI MOVEIS LTDA;827.67;827.67;0.00;827.67
04.122.0005-2004;MANUTENÇÃO DA SECRETARIA DE ADMINISTRAÇÃO;02/02/2022;554/2022;583/2022;Ordinário;00310;00000;19823-4;ELAINE DE JESUS MIGUEL DOS SANTOS;20.00;20.00;0.00;20.00
04.122.0005-2004;MANUTENÇÃO DA SECRETARIA DE ADMINISTRAÇÃO;06/05/2022;2782/2022;2823/2022;Ordinário;00310;00000;23070-7;CENTRAL NETWORK COMERCIAL;0.20;0.20;0.00;0.20
04.122.0005-2004;MANUTENÇÃO DA SECRETARIA DE ADMINISTRAÇÃO;17/05/2022;2993/2022;3035/2022;Ordinário;00310;00000;1710-8;S. A . ORLANDO & CIA LTDA;10.50;10.50;0.00;10.50
