projeto_atividade_codigo;projeto_atividade_descricao;liquidado;saldo_a_pagar;em_previsao;saldo_a_provisionar
04.122.0002-2001;MANUTENÇÃO DO GABINETE DO PREFEITO;1560.26;1560.26;0.00;1560.26
04.124.0003-2003;MANUTENÇÃO DO SETOR DE CONTROLE INTERNO;9391.53;2695.06;0.00;2695.06
04.122.0005-1004;ESTRUTURAR SECRETARIA DE ADMINISTRAÇÃO;25113.21;25113.21;0.00;25113.21
04.122.0005-2004;MANUTENÇÃO DA SECRETARIA DE ADMINISTRAÇÃO;225307.24;225307.24;4000.00;221307.24
04.122.0005-2037;MANUTENÇÃO DOS SERVIÇOS DA SECRETARIA DE ADMINISTRAÇÃO.;3847.76;3847.76;0.00;3847.76
04.846.0007-2326;EFETUAR PAGAMENTO DE DÍVIDA COM A SANEPAR;11952.06;11952.06;0.00;11952.06
04.122.0007-2005;MANUTENÇÃO DA SECRETARIA DE FAZENDA;54719.22;54719.22;7877.79;46841.43
04.122.0007-2006;EFETUAR PAGAMENTO DE DÍVIDA COM SENTENÇAS JUDICIAIS;16919.29;16919.29;0.00;16919.29
04.122.0007-2031;MANUTENÇÃO DAS ATIVIDADES DO DEPARTAMENTO DE FAZENDA.;886.50;886.50;0.00;886.50
04.123.0007-2007;EFETUAR PAGAMENTO DE DÍVIDA DO INSS;37433.29;37433.29;0.00;37433.29
04.123.0007-2008;RECOLHIMENTO DO PASEP;55524.46;55524.46;0.00;55524.46
04.123.0007-2010;EFETUAR PAGAMENTO DE DÍVIDA COM FGTS;16259.16;16259.16;0.00;16259.16
04.123.0007-2062;ATENDIMENTO À PRECATÓRIOS REQUISITÓRIOS;6277.34;6277.34;0.00;6277.34
22.661.0008-2011;MANUTENÇÃO DA SECRETARIA DE DESENVOLVIMENTO ECONÔMICO;2534.35;2534.35;0.00;2534.35
10.122.0015-2014;MANUTENÇÃO DO GABINETE DO SECRETÁRIO DE SAÚDE;344.50;344.50;0.00;344.50
10.122.0015-2015;MANUTENÇÃO DO ATENDIMENTO NO DEPARTAMENTO DE SAÚDE;5344.49;5344.49;0.00;5344.49
10.122.0029-2005;ESTRUTURAR UNIDADE DEPARTAMENTO DE SAÚDE;6460.50;6460.50;0.00;6460.50
10.122.0021-1056;ESTRUTURAR A UNIDADE DE ATENDIMENTO VILA PROGRESSO;7942.00;7942.00;0.00;7942.00
10.122.0037-2337;ENFRENTAMENTO DA EMERGENCIA COVID 19;9039.53;9039.53;0.00;9039.53
10.301.0011-1013;ESTRUTURAR POSTOS DE SAÚDE;3200.00;3200.00;0.00;3200.00
10.301.0011-2018;MANUTENÇÃO DOS POSTOS DE SAÚDE;258691.45;258691.45;11143.83;247547.62
10.301.0022-2009;MANUTENÇÃO DOS POSTOS DE SAÚDE;70886.96;70886.96;0.00;70886.96
10.301.0025-1005;ESTRUTURAR A UNIDADE DE ATENDIMENTO ANITA CANET;6940.00;6940.00;0.00;6940.00
10.302.0010-2024;MANUTENÇÃO DO ATENDIMENTO QUALIFICADO ININTERRUPTO NO HOSPITAL;52975.26;52975.26;0.00;52975.26
10.302.0012-2021;MANUTENÇÃO DO ATENDIMENTO NA UNIDADE BÁSICA - SAMU;140.00;140.00;0.00;140.00
10.302.0020-2008;MANUTENÇÃO DO ATENDIMENTO QUALIFICADO ININTERRUPTO NO HOSPITAL;99584.46;99584.46;0.00;99584.46
10.303.0015-2078;FORNECIMENTO DE MEDICAMENTOS;1490.00;1490.00;0.00;1490.00
10.304.0014-1017;ESTRUTURAR VIGILÂNCIA SANITÁRIA;399.00;399.00;0.00;399.00
10.304.0014-2025;MANUTENÇAO DOS SERVIÇOS DE SAÚDE - VIGILANCIA SANITÁRIA;711.65;711.65;711.65;0.00
08.243.0016-2026;MANUTENÇÃO DO CONSELHO TUTELAR;18376.28;18376.28;18376.28;0.00
08.244.0016-2027;MANUTENÇÃO DA SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;2551.90;2551.90;0.00;2551.90
08.244.0018-2030;MANUTENÇÃO DA COZINHA POPULAR COMUNITÁRIA;2691.03;2691.03;0.00;2691.03
08.244.0036-2080;MANUTENÇÃO DA COZINHA POPULAR COMUNITÁRIA;12505.35;12505.35;0.00;12505.35
08.243.0018-2031;MANUTENÇÃO DOS PROGRAMAS DE ATENDIMENTO A CRIANÇA E AO ADOLESCENTE;800.00;800.00;0.00;800.00
08.244.0016-2035;MANUTENÇÃO DA SECRETARIA DE ASSISTÊNCIA SOCIAL;3691.97;3691.97;0.00;3691.97
08.244.0016-2036;MANUTENÇÃO DO PROGRAMA IGD - SUAS;65.98;65.98;0.00;65.98
08.244.0017-2042;MANUTENÇÃO DO CREAS;2460.20;2460.20;0.00;2460.20
08.244.0018-1031;AQUISIÇÂO DE EQUIPAMENTOS PARA PESSOAS COM NECESSIDADES ESPECIAIS;960.00;960.00;0.00;960.00
08.244.0018-2039;MANUTENÇÃO DO CRAS;8226.70;8226.70;0.00;8226.70
08.244.0036-1500;MANUTENÇÃO DO CRAS.;2124.79;2124.79;0.00;2124.79
08.244.0037-2339;ACÕES DO COVID NO SUAS - AQUISIÇÃO DE ALIMENTOS - PORTARIA 369;2505.90;2505.90;0.00;2505.90
12.122.0021-2043;MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO;4809.80;4809.80;0.00;4809.80
12.306.0013-2049;MANUTENÇÃO DO SERVIÇO DA COZINHA CENTRAL;62522.15;62522.15;0.00;62522.15
12.306.0020-2044;MANUTENÇÃO DA COZINHA CENTRAL;29343.21;29343.21;0.00;29343.21
12.361.0014-2051;MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO;272.83;272.83;0.00;272.83
12.361.0015-2042;MANUTENÇÃO DAS ESCOLAS MUNICIPAIS - ENSINO FUNDAMENTAL;13309.30;13309.30;0.00;13309.30
12.361.0019-2045;MANUTENÇÃO DO TRANSPORTE ESCOLAR;510.83;510.83;0.00;510.83
12.361.0022-1038;ESTRUTURAR ESCOLAS MUNICIPAIS - ENSINO FUNDAMENTAL;0.01;0.01;0.00;0.01
12.361.0022-2046;MANUTENÇÃO DAS ESCOLAS MUNICIPAIS - ENSINO FUNDAMENTAL;8646.61;8646.61;0.00;8646.61
13.392.0011-2308;MANUTENÇÃO DAS UNIDADES DE ATENDIMENTO DA CULTURA;2593.92;2593.92;0.00;2593.92
27.812.0009-2020;MANUTENÇÃO DO ATENDIMENTO NAS UNIDADES ESPORTIVAS;50.70;50.70;0.00;50.70
04.122.0005-2105;REFORMA DO PRÉDIO DA PREFEITURA MUNICIPAL;1810.00;1810.00;0.00;1810.00
15.451.0008-2034;MANUTENÇÃO DA INFRAESTRUTURA URBANA.;24735.68;24735.68;0.00;24735.68
15.451.0008-2243;MANUTENÇÃO DA ILUMINAÇÃO PÚBLICA;5544.00;5544.00;0.00;5544.00
15.451.0024-2050;MANUTENÇÃO DA SECRETARIA DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS;214741.14;214741.14;22346.92;192394.22
15.451.0024-2051;MANUTENÇÃO DA ILUMINAÇÃO PÚBLICA;36352.36;36352.36;0.00;36352.36
15.451.0024-2052;CONTRIBUIÇÃO AO CINDEPAR - CONSÓRCIO PUBLICO INTERMUNICIPAL DE INOVAÇÃO E DESENVOLVIMENTO;23210.74;23210.74;0.00;23210.74
15.452.0024-2082;MANUTENÇÃO DO PROGRAMA MAIS OPORTUNIDADE E TRABALHO COM DIGNIDADE - SECRETARIA DE INFRA ESTRUTURA E SERVIÇOS;56.00;56.00;0.00;56.00
27.812.0025-1050;ESTRUTURAR O ATENDIMENTO DO ESPORTE E LAZER;50739.48;50739.48;0.00;50739.48
