orgao_codigo;orgao_nome;unidade_codigo;unidade_nome;projeto_atividade_codigo;projeto_atividade_nome;conta_despesa_codigo;conta_despesa_nome;fonte_seq;fonte_grupo;fonte_codigo;fonte_detalhe;fonte_descricao;valor_autorizado;valor_atualizado;liquido_empenhado;saldo_atual
02;GOVERNO MUNICIPAL;001;GABINETE DO PREFEITO;04.122.0002.2003;Manutenção das Atividades do Gabinete do Prefeito;3.1.90.11.00.00;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;00010;E;00000;0000/01/07/00/00;Recursos Ordinários (Livres);484000.00;410116.95;284816.82;125300.13
02;GOVERNO MUNICIPAL;001;GABINETE DO PREFEITO;04.122.0002.2003;Manutenção das Atividades do Gabinete do Prefeito;3.1.90.13.00.00;CONTRIBUIÇÕES PATRONAIS;00020;E;00000;0000/01/07/00/00;Recursos Ordinários (Livres);90000.00;88500.00;48960.77;39539.23
02;GOVERNO MUNICIPAL;001;GABINETE DO PREFEITO;04.122.0002.2003;Manutenção das Atividades do Gabinete do Prefeito;3.3.90.14.00.00;DIÁRIAS - CIVIL;00030;E;00000;0000/01/07/00/00;Recursos Ordinários (Livres);60000.00;60000.00;32330.00;27670.00
02;GOVERNO MUNICIPAL;001;GABINETE DO PREFEITO;04.122.0002.2003;Manutenção das Atividades do Gabinete do Prefeito;3.3.90.33.00.00;PASSAGENS E DESPESAS COM LOCOMOÇÃO;00040;E;00000;0000/01/07/00/00;Recursos Ordinários (Livres);15000.00;15000.00;0.00;15000.00
02;GOVERNO MUNICIPAL;002;DEPARTAMENTO DE PROCURADORIA MUNICIPAL;03.092.0002.2004;Manutenção das Atividades da Produradoria Geral do Município;3.1.90.11.00.00;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;00050;E;00000;0000/01/07/00/00;Recursos Ordinários (Livres);467000.00;411000.00;329517.07;81482.93
02;GOVERNO MUNICIPAL;002;DEPARTAMENTO DE PROCURADORIA MUNICIPAL;03.092.0002.2004;Manutenção das Atividades da Produradoria Geral do Município;3.1.90.13.00.00;CONTRIBUIÇÕES PATRONAIS;00060;E;00000;0000/01/07/00/00;Recursos Ordinários (Livres);87000.00;87000.00;54363.49;32636.51
02;GOVERNO MUNICIPAL;002;DEPARTAMENTO DE PROCURADORIA MUNICIPAL;03.092.0002.2004;Manutenção das Atividades da Produradoria Geral do Município;3.3.90.14.00.00;DIÁRIAS - CIVIL;00070;E;00000;0000/01/07/00/00;Recursos Ordinários (Livres);7000.00;17000.00;7470.00;9530.00
02;GOVERNO MUNICIPAL;002;DEPARTAMENTO DE PROCURADORIA MUNICIPAL;03.092.0002.2004;Manutenção das Atividades da Produradoria Geral do Município;3.3.90.33.00.00;PASSAGENS E DESPESAS COM LOCOMOÇÃO;00080;E;00000;0000/01/07/00/00;Recursos Ordinários (Livres);3000.00;3000.00;0.00;3000.00
02;GOVERNO MUNICIPAL;003;DEPARTAMENTO DE CONTROLADORIA;04.124.0002.2005;Manutenção das Atividades de Controle Interno;3.1.90.11.00.00;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;00090;E;00000;0000/01/07/00/00;Recursos Ordinários (Livres);296000.00;293000.00;172482.81;120517.19
02;GOVERNO MUNICIPAL;003;DEPARTAMENTO DE CONTROLADORIA;04.124.0002.2005;Manutenção das Atividades de Controle Interno;3.1.90.13.00.00;CONTRIBUIÇÕES PATRONAIS;00100;E;00000;0000/01/07/00/00;Recursos Ordinários (Livres);55000.00;55000.00;30283.31;24716.69
